,Unnamed: 0,Latitude,Longitude,avg_t2m,avg_vsw_0,avg_vsw_1,avg_tciwv,avg_r2,avg_voltso,avg_orog,avg_sot1,avg_sot2,avg_sot3,avg_vwiltm_0
143,143,43.74376204,21.82901249,287.5273853,0.19221596,0.236874911,15.60198564,59.15498304,0.332119465,636.0139,290.4263102,281.8371065,288.0379995,0.185671002
144,144,43.7346995,21.89591322,287.1376555,0.19221596,0.236874911,15.60198564,61.06150426,0.334778666,751.6765,290.4263102,281.8371065,288.0379995,0.189273685
145,145,43.72559389,21.96279145,286.9301631,0.183236205,0.212382545,15.59547522,61.87530634,0.332119465,702.53345,288.7357695,281.0625559,288.0851491,0.185671002
146,146,43.71644523,22.02964711,287.5971281,0.183236205,0.212382545,15.59547522,58.39841832,0.332119465,608.5066,288.7357695,281.0625559,288.0851491,0.185671002
147,147,43.70725354,22.09648008,288.0133336,0.208475303,0.254759938,16.13264761,57.73696009,0.328822315,681.7009,291.5043945,282.8541862,288.1322937,0.183536783
148,148,43.69801885,22.16329028,288.9931513,0.208475303,0.254759938,16.13264761,54.36011548,0.371639967,679.0051,291.5043945,282.8541862,288.1322937,0.2363206
149,149,43.68874118,22.23007762,290.1930483,0.168821461,0.21729845,16.59232503,49.35469013,0.390711308,420.6316,294.7498305,284.4799805,288.1793874,0.259939402
150,150,43.67942056,22.29684199,290.4062915,0.168821461,0.21729845,16.59232503,48.76745065,0.338159621,272.06372,294.7498305,284.4799805,288.1793874,0.216332689
151,151,43.67005702,22.3635833,289.8159595,0.164070365,0.185170572,15.91776184,49.59123527,0.326886058,489.69946,290.8554416,282.4879642,288.2264709,0.204519227
152,152,43.66065057,22.43030147,288.1253671,0.164070365,0.185170572,15.91776184,55.00415839,0.287645102,729.4358,290.8554416,282.4879642,288.2264709,0.152920485
153,153,43.65120125,22.49699638,288.1668438,0.154453574,0.184251938,16.85500982,53.9894557,0.313729465,669.47925,292.7055681,283.9911219,288.446818,0.166328475
154,154,43.64170907,22.56366796,289.2750253,0.154453574,0.184251938,16.85500982,50.23799091,0.327583313,510.69458,292.7055681,283.9911219,288.446818,0.186223239
155,155,44.02064915,20.02549145,287.7349862,0.147218878,0.165130346,15.13390765,59.8357012,0.272105217,657.551,291.1698346,282.1077143,287.2970581,0.153108239
156,156,44.01275058,20.09302177,287.7229419,0.147218878,0.165130346,15.13390765,59.98847898,0.3232885,598.8738,291.1698346,282.1077143,287.2970581,0.20137614
157,157,44.00480827,20.16053221,288.7031665,0.147218878,0.165130346,15.13390765,57.10582924,0.356535316,515.3342,291.1698346,282.1077143,287.2970581,0.229912385
158,158,43.99682226,20.22802266,289.160035,0.138102069,0.15115038,15.69976787,54.84622643,0.315565765,484.76978,292.2000054,282.7686335,287.3371023,0.19455266
159,159,43.98879256,20.29549302,289.7093786,0.138102069,0.15115038,15.69976787,51.63295608,0.390711308,430.35034,292.2000054,282.7686335,287.3371023,0.259939402
160,160,43.9807192,20.3629432,289.9321976,0.1221452,0.135459742,16.04750813,51.05635013,0.390711308,390.14722,293.7204522,283.6854562,287.3849182,0.259939402
161,161,43.97260219,20.43037309,289.8328323,0.1221452,0.135459742,16.04750813,51.73196867,0.367376506,441.75708,293.7204522,283.6854562,287.3849182,0.231051981
162,162,43.96444157,20.49778259,289.4755461,0.134681754,0.143936374,16.05926889,52.53459454,0.332119465,510.50317,292.6227688,283.1380446,287.4358419,0.185671002
163,163,43.95623734,20.5651716,289.6579463,0.134681754,0.143936374,16.05926889,52.0902586,0.332119465,497.09888,292.6227688,283.1380446,287.4358419,0.185671002
164,164,43.94798954,20.63254003,289.6922073,0.130562724,0.14226667,16.47921177,52.81443395,0.333425164,391.35864,293.6310891,283.8804474,287.4898885,0.18744497
